silo_name,treat,common_treatment_time,start_time,end_time,weights,diff_estimate,diff_var,diff_estimate_covariates,diff_var_covariates,covariates,date_format,freq,n,n_t,anonymize_size
US,0,2018,2016,2022,diff,NA,NA,NA,NA,female;minority;ageg6;educ;hh_inc;health5,yyyy,1 year,NA,NA,NA
CAN,1,2018,2016,2022,diff,NA,NA,NA,NA,female;minority;ageg6;educ;hh_inc;health5,yyyy,1 year,NA,NA,NA
